TimeStamp,ABB_X_Pos,ABB_Y_Pos,ABB_Z_Pos,Chamber_Temp,Chamber_Pressure,Main_Gas_Flow_Rate,PF1_Pressure,PF1_Gas_Flow_Rate,PF2_Pressure,PF2_Gas_Flow_Rate
20250306T01:08:53.032,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:08:54.034,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:08:55.016,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:10:12.473,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:10:13.009,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:10:14.021,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:10:15.009,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:10:16.020,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:10:17.020,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:10:18.011,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:10:19.019,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:10:20.028,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:10:21.019,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:10:22.032,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:10:23.013,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:10:24.023,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:10:25.017,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:10:26.000,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:10:27.063,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:10:28.012,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:10:29.007,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:10:30.009,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:10:31.004,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:10:32.032,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:10:33.009,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:10:34.011,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:10:35.021,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:10:36.018,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:10:37.024,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:10:38.010,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:10:39.010,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:10:40.015,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:10:41.056,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
20250306T01:10:42.014,0,0,0,26,0.0,1,0.002,0.0,0.002,0.0
